Labels,15 wt% in mCP,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,19990.234000,
Step,9.7656250,
Fixed/Offset, ,
XAxis,Time(ns),
YAxis,Counts,

5302.734400,6.40000000E+1,
5312.5000,5.30000000E+1,
5322.265600,6.10000000E+1,
5332.031300,6.20000000E+1,
5341.796900,6.30000000E+1,
5351.562500,7.20000000E+1,
5361.328100,7.50000000E+1,
5371.093800,6.00000000E+1,
5380.859400,6.10000000E+1,
5390.625000,5.30000000E+1,
5400.390600,6.60000000E+1,
5410.156300,8.90000000E+1,
5419.921900,5.60000000E+1,
5429.687500,6.70000000E+1,
5439.453100,6.60000000E+1,
5449.218800,6.00000000E+1,
5458.984400,6.10000000E+1,
5468.75000,5.40000000E+1,
5478.515600,5.30000000E+1,
5488.281300,5.50000000E+1,
5498.046900,5.60000000E+1,
5507.812500,6.20000000E+1,
5517.578100,5.30000000E+1,
5527.343800,6.50000000E+1,
5537.109400,5.80000000E+1,
5546.875000,5.70000000E+1,
5556.640600,5.60000000E+1,
5566.406300,7.30000000E+1,
5576.171900,6.20000000E+1,
5585.937500,7.20000000E+1,
5595.703100,6.30000000E+1,
5605.468800,6.70000000E+1,
5615.234400,6.10000000E+1,
5625.000,5.90000000E+1,
5634.765600,5.30000000E+1,
5644.531300,5.60000000E+1,
5654.296900,5.30000000E+1,
5664.062500,5.40000000E+1,
5673.828100,6.30000000E+1,
5683.593800,6.00000000E+1,
5693.359400,6.20000000E+1,
5703.125000,5.20000000E+1,
5712.890600,4.70000000E+1,
5722.656300,4.90000000E+1,
5732.421900,5.30000000E+1,
5742.187500,5.90000000E+1,
5751.953100,6.40000000E+1,
5761.718800,5.00000000E+1,
5771.484400,4.40000000E+1,
5781.25000,5.60000000E+1,
5791.015600,5.60000000E+1,
5800.781300,6.80000000E+1,
5810.546900,4.90000000E+1,
5820.312500,5.50000000E+1,
5830.078100,6.80000000E+1,
5839.843800,4.60000000E+1,
5849.609400,3.80000000E+1,
5859.375000,6.70000000E+1,
5869.140600,5.00000000E+1,
5878.906300,5.50000000E+1,
5888.671900,6.50000000E+1,
5898.437500,5.90000000E+1,
5908.203100,6.70000000E+1,
5917.968800,5.60000000E+1,
5927.734400,6.50000000E+1,
5937.5000,5.00000000E+1,
5947.265600,5.40000000E+1,
5957.031300,6.10000000E+1,
5966.796900,6.20000000E+1,
5976.562500,4.60000000E+1,
5986.328100,7.00000000E+1,
5996.093800,6.00000000E+1,
6005.859400,6.20000000E+1,
6015.625000,4.40000000E+1,
6025.390600,4.60000000E+1,
6035.156300,4.80000000E+1,
6044.921900,6.40000000E+1,
6054.687500,6.00000000E+1,
6064.453100,5.40000000E+1,
6074.218800,4.30000000E+1,
6083.984400,6.10000000E+1,
6093.75000,4.70000000E+1,
6103.515600,4.50000000E+1,
6113.281300,5.60000000E+1,
6123.046900,4.50000000E+1,
6132.812500,6.20000000E+1,
6142.578100,5.20000000E+1,
6152.343800,5.10000000E+1,
6162.109400,4.90000000E+1,
6171.875000,5.10000000E+1,
6181.640600,4.00000000E+1,
6191.406300,6.00000000E+1,
6201.171900,5.90000000E+1,
6210.937500,5.00000000E+1,
6220.703100,5.20000000E+1,
6230.468800,4.50000000E+1,
